Country,Year,Gas production,Gas consumption,Gas imports,Gas exports,Gas reserves,Coal production,Coal consumption,Coal imports,Coal exports,Coal reserves,Oil production,Oil consumption,Oil imports,Oil exports,Oil reserves,Gas production per capita,Gas consumption per capita,Gas imports per capita,Gas exports per capita,Gas reserves per capita,Coal production per capita,Coal consumption per capita,Coal imports per capita,Coal exports per capita,Coal reserves per capita,Oil production per capita,Oil consumption per capita,Oil imports per capita,Oil exports per capita,Oil reserves per capita,Population,Gas net imports,Coal net imports,Oil net imports,Gas net imports per capita,Coal net imports per capita,Oil net imports per capita
Brazil,2020,26670000000,38433400000,11763400000,0,3.69E+11,5481000,21810000,17860000,15430,6602596,170700000,162000000,11246724,71916075,2136000000,125.4468485,180.7779868,55.33113829,0,1736,0.02579,0.1026,0.08402,0.00007259,0.031056425,0.8032,0.7621,0.052900865,0.338269403,10.05,212600000,11763400000,17840000,-60669351,55.33113829,0.08395,-0.285368537
Italy,2016,5786000000,70920000000,65290000000,212000000,53720000000,0,17040000,17270000,22760,17000,4104000,71810000,71190000,731700,92100000,95.37,1169,1076,3.495,885.6,0,0.281,0.2847,0.0003751,0.0002802,0.06765,1.184,1.173,0.01206,1.518,60660000,65080000000,17250000,70450000,1073,0.2844,1.161
Italy,2017,5539000000,75160000000,69660000000,273000000,49140000000,0,15200000,16120000,27450,9072,4501000,72250000,77800000,817300,88520000,91.29,1239,1148,4.5,809.8,0,0.2505,0.2657,0.0004524,0.0001495,0.07418,1.191,1.282,0.01347,1.459,60670000,69390000000,16090000,76980000,1144,0.2652,1.269
Italy,2018,5449000000,72710000000,67890000000,390400000,38120000000,0,13900000,14810000,33640,17000,5197000,73880000,72760000,588600,77560000,89.87,1199,1120,6.44,628.7,0,0.2293,0.2443,0.0005549,0.0002804,0.08572,1.219,1.2,0.009708,1.279,60630000,67500000000,14780000,72170000,1113,0.2437,1.19
Italy,2019,4804000000,74320000000,70920000000,325700000,44690000000,0,10360000,10830000,37230,17000,4510000,72880000,74570000,0,84970000,79.33,1227,1171,5.378,738,0,0.1712,0.1788,0.0006148,0.0002808,0.07448,1.204,1.232,0,1.403,60550000,70590000000,10790000,74570000,1166,0.1782,1.232
Italy,2020,3889000000,72833600000,69501600000,314700000,48480000000,0,7728000,7807000,27750,17000,5843000,60980000,58570000,205900,82350000,64.32,1204.657625,1149.546808,5.205,801.9,0,0.1278,0.1291,0.000459,0.000281178,0.09664,1.009,0.9688,0.003405,1.362,60460000,69186900000,7780000,58370000,1144.341808,0.1287,0.9653
South Korea,2016,154000000,45910000000,44260000000,91020000,7080000000,1726000,134800000,134400000,476,326000,0,151300000,170200000,0,0,3.02,900.4,868,1.785,138.9,0.03385,2.644,2.637,0.000009336,0.006394,0,2.968,3.338,0,0,50980000,44160000000,134400000,170200000,866.3,2.637,3.338
South Korea,2017,340500000,47500000000,49660000000,77220000,7080000000,1486000,138300000,147200000,555.5,326000,0,152700000,176600000,0,0,6.665,929.5,971.9,1.511,138.6,0.02908,2.706,2.881,0.00001087,0.00638,0,2.989,3.456,0,0,51100000,49580000000,147200000,176600000,970.3,2.88,3.456
South Korea,2018,305300000,55180000000,58230000000,2,7080000000,1140000,138900000,148700000,795.5,326000,0,149000000,176200000,0,0,5.966,1078,1138,5.36E-08,138.4,0.02228,2.714,2.906,0.00001555,0.006371,0,2.913,3.444,0,0,51170000,58230000000,148700000,176200000,1138,2.906,3.444
South Korea,2019,240100000,53430000000,55420000000,1829,7080000000,1086000,132800000,141400000,429.4,326000,0,150900000,170400000,0,0,4.687,1043,1082,0.00003571,138.2,0.0212,2.592,2.76,0.000008383,0.006364,0,2.946,3.326,0,0,51230000,55420000000,141400000,170400000,1082,2.76,3.326
South Korea,2020,247303000,53964300000,55974200000,1865.58,7080000000,1019000,125300000,123500000,225.4,326000,0,141500000,153600000,0,0,4.823542032,1052.5512,1091.753462,3.63874E-05,138.1,0.01988,2.443,2.409,0.000004396,0.006358494,0,2.76,2.997,0,0,51270000,55974198134,123500000,153600000,1091.753426,2.409,2.997
Spain,2016,54010000,28760000000,32410000000,3984000000,2549000000,1984000,19910000,13830000,453900,1187000,154900,74910000,75040000,0,23850000,1.158,616.8,695,85.44,54.66,0.04255,0.427,0.2966,0.009734,0.02545,0.003321,1.606,1.609,0,0.5114,46630000,28420000000,13380000,75040000,609.5,0.2868,1.609
Spain,2017,36000000,31270000000,34630000000,2882000000,2549000000,2977000,23960000,19180000,265700,1187000,139500,75340000,77340000,0,23850000,0.7718,670.4,742.4,61.79,54.64,0.06382,0.5137,0.4112,0.005695,0.02545,0.002991,1.615,1.658,0,0.5113,46650000,31750000000,18910000,77340000,680.6,0.4055,1.658
Spain,2018,95730000,31190000000,34820000000,3247000000,2549000000,2401000,18900000,15780000,275700,1187000,104500,77350000,79250000,0,23850000,2.05,668,745.8,69.53,54.59,0.05142,0.4047,0.3379,0.005905,0.02542,0.002239,1.657,1.697,0,0.5108,46690000,31570000000,15500000,79250000,676.2,0.332,1.697
Spain,2019,133000000,35670000000,37190000000,1120000000,2549000000,0,7675000,8589000,1523000,1187000,47340,77110000,77590000,0,23850000,2.846,763.2,795.8,23.97,54.54,0,0.1642,0.1838,0.03258,0.0254,0.001013,1.65,1.66,0,0.5103,46740000,36070000000,7066000,77590000,771.9,0.1512,1.66
